Ticker,Report Date,Price,YoY_Price_growth,Market_Cap,FCF,FCF_per_share,YoY_FCFps_growth
A,2020-07-31,93.33,,28838970000.0,266000000.0,0.86084142394822,0.37734627831715206
A,2020-10-31,102.14,,31459120000.0,350000000.0,1.1363636363636365,0.23639564660691437
A,2021-01-31,117.47,,35945820000.0,197000000.0,0.6437908496732027,-3.1459694989106755
A,2021-04-30,130.11,,39813660000.00001,441000000.0,1.4411764705882353,0.5904411764705882
A,2021-07-31,149.23,0.5989499624986606,45216690000.0,280000000.0,0.9240924092409241,0.07347576862949451
A,2021-10-31,153.31,0.5009790483649893,46759550000.0,380000000.0,1.2459016393442623,0.09639344262295077
A,2022-01-31,136.18,0.15927470843619654,40990180000.0,180000000.0,0.5980066445182725,-0.0711165826264398
A,2022-04-30,117.05,-0.10037660441165179,34997950000.0,219000000.0,0.7324414715719063,-0.4917753054399017
A,2022-07-31,130.85,-0.12316558332774909,38993300000.0,244000000.0,0.8187919463087249,-0.11395014381591556
A,2022-10-31,135.9,-0.11356075924597218,43216200000.0,378000000.0,1.1886792452830188,-0.0459285004965244
A,2023-01-31,149.61,0.0986194742252901,44284560000.00001,220000000.0,0.7432432432432432,0.24286786786786774
A,2023-04-30,134.09,0.14557881247330207,39690640000.0,341000000.0,1.152027027027027,0.5728588177218314
A,2023-07-31,120.22,-0.08123805884600685,35344680000.0,481000000.0,1.6360544217687074,0.9981320397011262
A,2023-10-31,102.26,-0.24753495217071375,29655400000.0,432000000.0,1.4896551724137932,0.25320197044334986
A,2024-01-31,128.92,-0.13829289485996943,37773560000.0,395000000.0,1.348122866894198,0.813838039094012
A,2024-04-30,136.02,0.014393317920799514,39853860000.0,230000000.0,0.7849829351535836,-0.31860718825378076
AA,2020-09-30,11.18,,2079480000.0,83000000.0,0.44623655913978494,-0.04597701149425284
AA,2020-12-31,22.16,,4121760000.0,-271000000.0,-1.456989247311828,-3.083039314516129
