Ticker,Report Date,Price,FCF,FCF_per_share,FCFps_growth
A,2020-07-31,93.33,266000000.0,0.86084142394822,0.37734627831715206
A,2020-10-31,102.14,350000000.0,1.1363636363636365,0.23639564660691437
A,2021-01-31,117.47,197000000.0,0.6437908496732027,-3.1459694989106755
A,2021-04-30,130.11,441000000.0,1.4411764705882353,0.5904411764705882
A,2021-07-31,149.23,280000000.0,0.9240924092409241,0.07347576862949451
A,2021-10-31,153.31,380000000.0,1.2459016393442623,0.09639344262295077
A,2022-01-31,136.18,180000000.0,0.5980066445182725,-0.0711165826264398
A,2022-04-30,117.05,219000000.0,0.7324414715719063,-0.4917753054399017
A,2022-07-31,130.85,244000000.0,0.8187919463087249,-0.11395014381591556
A,2022-10-31,135.9,378000000.0,1.1886792452830188,-0.0459285004965244
A,2023-01-31,149.61,220000000.0,0.7432432432432432,0.24286786786786774
A,2023-04-30,134.09,341000000.0,1.152027027027027,0.5728588177218314
A,2023-07-31,120.22,481000000.0,1.6360544217687074,0.9981320397011262
A,2023-10-31,102.26,432000000.0,1.4896551724137932,0.25320197044334986
A,2024-01-31,128.92,395000000.0,1.348122866894198,0.813838039094012
A,2024-04-30,136.02,230000000.0,0.7849829351535836,-0.31860718825378076
AA,2020-09-30,11.18,83000000.0,0.44623655913978494,-0.04597701149425284
AA,2020-12-31,22.16,-271000000.0,-1.456989247311828,-3.083039314516129
AA,2021-03-31,31.24,522000000.0,2.806451612903226,28.000000000000004
AA,2021-06-30,35.42,-51000000.0,-0.2712765957446808,-1.2391348189976807
AA,2021-09-30,47.05,362000000.0,1.9358288770053476,3.3381225436505377
AA,2021-12-31,57.41,-303000000.0,-1.6680084500977783,0.1448323679637888
AA,2022-03-31,86.85,-38000000.0,-0.2059061212329834,-1.0733688477956607
AA,2022-06-30,44.04,431000000.0,2.342391304347826,-9.634697357203752
AA,2022-09-30,32.59,7000000.0,0.03835625391651599,-0.9801861340265511
AA,2022-12-31,43.27,-58000000.0,-0.29825922290153617,-0.8211884221065833
AA,2023-03-31,41.39,-245000000.0,-1.3763056478011153,5.684141489139225
AA,2023-06-30,33.09,-127000000.0,-0.7118664413895247,-1.3039058589690777
AA,2023-09-30,28.21,-76000000.0,-0.425905569528465,-12.103940714738892
AA,2023-12-31,32.71,8000000.0,0.04516210721040534,-1.1514189796749879
AA,2024-03-31,33.52,-323000000.0,-1.8044692737430168,0.31109632269980614
AAGH,2022-12-31,0.01,-116814.0,-5.538776279138561e-06,-0.25518934191770404
AAGH,2023-03-31,0.01,-202285.0,-9.591085924225812e-06,-0.7139534300394759
AAGH,2023-06-30,0.01,28114.0,1.3322758290081133e-06,-1.174900773968389
AAL,2020-09-30,12.29,-3078000000.0,-6.04656919078517,-18.128651435550182
AAL,2020-12-31,15.77,-2911000000.0,-5.089312094939885,1.2028915055724951
AAL,2021-03-31,23.9,301000000.0,0.474307802126979,-1.206461142501925
AAL,2021-06-30,21.21,3545000000.0,5.503607230296077,-2.9949157274738547
AAL,2021-09-30,20.52,-1786000000.0,-2.793392204152238,-0.5380203027513019
AAL,2021-12-31,17.96,-1190000000.0,-1.8342514866685369,-0.6395875410171318
AAL,2022-03-31,18.25,378000000.0,0.582644589882947,0.22841030080075447
AAL,2022-06-30,12.68,1160000000.0,1.7836659255227219,-0.6759096623567075
AAL,2022-09-30,12.04,-1067000000.0,-1.6400598844733825,-0.4128787636639369
AAL,2022-12-31,12.74,-844000000.0,-1.2951101917806538,-0.29392986665481713
AAL,2023-03-31,14.75,2828000000.0,4.337423312883436,6.444372415360146
AAL,2023-06-30,17.94,1024000000.0,1.5667026722684447,-0.12163895163871216
AAL,2023-09-30,12.75,-451000000.0,-0.6894769911896765,-0.5796025512744828
AAL,2023-12-31,13.44,-2194000000.0,-3.351015003199807,1.5874362077194983
AAL,2024-03-31,15.41,1356000000.0,2.0675553902053374,-0.5233217417206931
AAN,2021-12-31,21.82,25010000.0,0.8506513383898506,-155.10436037771643
AAN,2022-03-31,17.87,12085000.0,0.3843218317697567,-4.182125326267618
AAN,2022-06-30,13.03,-2505000.0,-0.08064516129032258,-1.1016585701616213
AAN,2022-09-30,8.79,49306000.0,1.599442047555714,3.902148779587449
AAN,2022-12-31,10.81,25085000.0,0.8309042729380589,-0.023214053232632086
AAN,2023-03-31,8.92,42900000.0,1.3931737732601566,2.625018560212298
AAN,2023-06-30,13.19,34777000.0,1.122092085309586,-14.913941857838864
AAN,2023-09-30,9.41,9119000.0,0.2962830593280915,-0.8147584904492947
AAN,2023-12-31,10.82,16497000.0,0.5359997400740789,-0.3549199859343654
AAN,2024-03-31,7.34,-32841000.0,-1.0749214454045561,-1.7715630785161423
AAOI,2020-09-30,11.25,-11563000.0,-0.5083897498813003,0.8073941645584752
AAOI,2020-12-31,8.51,-17830000.0,-0.7537414618593715,1.4786345538345484
AAOI,2021-03-31,8.36,-17521000.0,-0.6627185470528466,0.20729020283489086
AAOI,2021-06-30,8.47,-1021000.0,-0.03804193644708881,-0.9594969205612383
AAOI,2021-09-30,7.18,1391000.0,0.05133339129713391,-1.1009725143143017
AAOI,2021-12-31,5.14,-2817000.0,-0.10055240284726426,-0.866595632673283
AAOI,2022-03-31,3.65,-4624000.0,-0.1701689176756339,-0.7432259615603239
AAOI,2022-06-30,1.55,1478000.0,0.05352684119386585,-2.4070482786362484
AAOI,2022-09-30,2.72,-10115000.0,-0.3633360028262261,-8.077966088839181
AAOI,2022-12-31,1.88,-4066000.0,-0.1413720557861225,0.40595402778053874
AAOI,2023-03-31,2.21,-10013000.0,-0.34680831232989273,1.038023847521664
AAOI,2023-06-30,5.96,14236000.0,0.4827634688583142,8.019091321115333
AAOI,2023-09-30,11.27,-16912000.0,-0.516016465172489,0.4202183685586642
AAOI,2023-12-31,18.69,-4772000.0,-0.13023139542721873,-0.07880383642265294
AAOI,2024-03-31,13.92,-34363000.0,-0.8957534617874853,1.5828488820516569
AAP,2020-09-30,138.3,309090000.0,4.481838613789604,0.9872004956538997
AAP,2020-12-31,142.14,85521000.0,1.2632162006469623,-1.6087227957846686
AAP,2021-03-31,165.81,259638000.0,3.776662593820911,-4.618011808629664
AAP,2021-06-30,186.32,388805000.0,5.655509978472101,0.02758524803113192
AAP,2021-09-30,190.64,87612000.0,1.3938969675756514,-0.6889899240711288
AAP,2021-12-31,219.84,83653000.0,1.3309097273045472,0.053588235032859234
AAP,2022-04-30,185.07,-168966000.0,-2.7581332332152595,-1.7303096754599967
AAP,2022-06-30,161.22,267127000.0,4.360474037315748,-0.22898658937672348
AAP,2022-09-30,146.92,53115000.0,0.8801014067703932,-0.36860368646822017
AAP,2022-12-31,143.91,185775000.0,3.0782422826465177,1.3128858550615543
AAP,2023-04-30,120.6,-472195000.0,-7.958253278053055,1.88537666789063
AAP,2023-09-30,52.03,167122000.0,2.8100010088442007,-0.35557442039627385
AAP,2023-12-31,60.05,211976000.0,3.5644789722376364,3.0500775760804593
AAP,2024-04-30,71.27,-34000000.0,-0.5708720910708889,-1.1854539177403807
AAPL,2020-09-30,112.79,18792000000.0,1.1016777252629617,0.1550639231293087
AAPL,2020-12-31,129.45,35263000000.0,2.0822410518638814,0.2944035388251767
AAPL,2021-03-31,119.35,21712000000.0,1.2959698632092826,0.9726163367249631
AAPL,2021-06-30,134.05,19001000000.0,1.1280375115662284,0.3231998137815054
AAPL,2021-09-30,138.7,16977000000.0,1.0357055792301042,-0.05988334384913744
AAPL,2021-12-31,174.31,44163000000.0,2.694225451819467,0.29390660577351435
AAPL,2022-03-31,171.62,25652000000.0,1.5649360616369579,0.20754047301811415
AAPL,2022-06-30,134.58,20790000000.0,1.2862754900174442,0.14027723087994617
AAPL,2022-09-30,136.22,20838000000.0,1.2850300657444766,0.2407291140593341
AAPL,2022-12-31,123.48,30218000000.0,1.9013733518164257,-0.2942783052797648
AAPL,2023-03-31,163.06,25644000000.0,1.6243586399423227,0.03797124992008137
AAPL,2023-06-30,192.07,24287000000.0,1.5471778067673214,0.2028354880231286
AAPL,2023-09-30,172.28,19435000000.0,1.2458786162291924,-0.03046734123890093
AAPL,2023-12-31,184.31,37503000000.0,2.41802534313387,0.2717256928124477
AAPL,2024-03-31,169.02,20694000000.0,1.3432554477985514,-0.17305488162007904
AAT,2020-09-30,19.1,26578000.0,0.4442611399675996,-0.22856623976264195
AAT,2020-12-31,23.09,3038000.0,0.05067315314162457,-0.6601647732578813
AAT,2021-03-31,26.14,31133000.0,0.5190188405022744,0.24838500123535454
AAT,2021-06-30,30.27,10067000.0,0.16782290037914604,0.1074000916613934
AAT,2021-09-30,30.6,-172851000.0,-2.881313747447652,-7.485630833382792
AAT,2021-12-31,30.95,-12370000.0,-0.20616378037374145,-5.06850112124544
AAT,2022-03-31,31.52,-35847000.0,-0.5974270687576775,-2.151070100228971
AAT,2022-06-30,24.95,13677000.0,0.22779721261288033,0.35736667700439045
AAT,2022-09-30,21.86,29581000.0,0.4926544260780786,-1.1709825688071926
AAT,2022-12-31,22.8,6063000.0,0.048567967899160625,-1.2355795368668288
AAT,2023-03-31,16.22,27667000.0,0.4600079784374357,-1.7699818145066666
AAT,2023-06-30,17.02,27433000.0,0.4561052142770093,1.0022422971966591
AAT,2023-09-30,17.15,32638000.0,0.542603998115998,0.10138865986764353
AAT,2023-12-31,20.99,12267000.0,0.20378970776087424,3.1959694130912206
AAT,2024-03-31,19.63,43946000.0,0.7286695003298048,0.5840366569400904
AAWH,2021-12-31,6.57,-107872000.0,-0.9831070758646939,17.982271952320644
AAWH,2022-03-31,4.0,14941000.0,0.08661750553642446,-1.466118893957792
AAWH,2022-06-30,1.92,-57672000.0,-0.31122239730610657,0.267286542439191
AAWH,2022-09-30,1.82,-47069000.0,-0.25077118973665,-1.9114996457040967
AAWH,2022-12-31,1.17,-35225000.0,-0.1873421087621327,-0.8094387545757867
AAWH,2023-03-31,0.94,8748000.0,0.04641168886978943,-0.46417657051700306
AAWH,2023-06-30,0.62,31769000.0,0.1623766930743675,-1.5217384561004457
AAWH,2023-09-30,0.96,1194000.0,0.005804287589324777,-1.0231457512939195
AAWH,2023-12-31,1.0,8432000.0,0.04077980741793983,-1.2176756079420337
AAWH,2024-03-31,1.33,-6270000.0,-0.03000660432439676,-1.6465311876191784
AAWW,2020-09-30,60.9,203829000.0,7.799081691218673,2.7722383784776827
AAWW,2020-12-31,54.54,273710000.0,9.988686957156412,1.8276178847139932
